512, 502, 507, 512, 511, 356370
508, 498, 503, 509, 507, 356405
510, 500, 505, 511, 510, 356439
509, 499, 505, 510, 508, 356473
511, 501, 506, 511, 510, 356507
510, 499, 505, 511, 509, 356542
509, 499, 504, 510, 509, 356577
510, 499, 505, 511, 508, 356611
508, 496, 503, 509, 506, 356645
510, 498, 506, 511, 508, 356679
508, 497, 504, 509, 507, 356714
510, 499, 505, 511, 508, 356748
512, 501, 507, 513, 510, 356783
510, 500, 505, 511, 509, 356816
511, 501, 506, 511, 510, 356851
509, 499, 504, 510, 509, 356885
510, 500, 506, 511, 509, 356920
509, 498, 504, 510, 508, 356954
509, 498, 505, 511, 508, 356988
508, 497, 503, 509, 507, 357022
510, 498, 506, 511, 508, 357057
509, 497, 504, 510, 507, 357091
511, 500, 507, 512, 509, 357126
509, 499, 504, 510, 508, 357159
512, 501, 507, 512, 510, 357194
509, 498, 505, 510, 508, 357228
511, 500, 506, 511, 510, 357263
510, 499, 505, 510, 509, 357297
511, 501, 507, 512, 510, 357331
509, 498, 503, 509, 508, 357365
508, 497, 504, 509, 507, 357400
510, 500, 506, 511, 509, 357434
509, 497, 504, 510, 507, 357469
509, 498, 504, 510, 508, 357502
509, 497, 504, 510, 507, 357537
511, 500, 506, 512, 510, 357571
512, 501, 507, 513, 511, 357606
509, 499, 504, 510, 509, 357640
510, 500, 505, 511, 509, 357675
508, 497, 504, 510, 508, 357709
510, 499, 506, 511, 508, 357743
510, 498, 505, 511, 508, 357778
510, 499, 505, 511, 509, 357812
510, 500, 506, 511, 510, 357847
509, 497, 504, 510, 508, 357880
510, 499, 505, 511, 508, 357915
510, 498, 505, 511, 509, 357949
510, 500, 506, 511, 509, 357984
509, 498, 504, 510, 508, 358018
509, 497, 504, 510, 507, 358052
509, 497, 504, 510, 507, 358086
511, 500, 506, 512, 509, 358121
509, 498, 505, 510, 508, 358155
511, 500, 506, 512, 510, 358190
509, 499, 504, 510, 509, 358223
511, 500, 506, 511, 510, 358258
509, 498, 504, 510, 508, 358292
509, 498, 505, 511, 508, 358327
509, 497, 504, 510, 507, 358361
512, 501, 508, 513, 510, 358395
508, 497, 503, 509, 507, 358429
511, 500, 507, 512, 509, 358464
508, 496, 503, 509, 507, 358498
512, 501, 507, 513, 511, 358533
509, 497, 504, 510, 507, 358566
510, 499, 505, 511, 509, 358601
510, 499, 504, 510, 509, 358635
512, 501, 507, 513, 511, 358670
510, 499, 504, 510, 509, 358704
512, 502, 507, 513, 512,
